_rank,_name,_score,Back,Background,Body,Glass,Hand,Hat,Legendary,Mouth,Neck,Prop,Shirt
869,Oppa Bear Evolution Gen.1 #800,292.94348160811643,Basketball Pink,Lens Blue,Brown,,Hand Soundabout V2,Halo Yellow,,Smile,Headphone Pink,Rose Orange,Palm Shirt Red
870,Oppa Bear Evolution Gen.1 #1285,292.9428409981708,Wing Blue,Futuristic V.3,White,,Hand Soundabout V3,Halo Pink,,Playful,,,Hoodie Mix White
871,Oppa Bear Evolution Gen.1 #1390,292.932739924188,Baseball Silver,Futuristic V.3,Pink,,Hand Donut V3,Ring Red,,Smirk,,Honey Purple,Hood Yellow
872,Oppa Bear Evolution Gen.1 #994,292.89897646815393,Skateboard Green,Red,White,Heart Blue,,Hiphop Black,,Open Mouth,,Honey Purple,Palm Shirt Red
873,Oppa Bear Evolution Gen.1 #524,292.8839882823527,,Rainbow Wall Dark,Yellow,,Hand Spray V3,Mario Red,,Smile,Headphone Pink,,Hoodie Mix White
874,Oppa Bear Evolution Gen.1 #1602,292.84379440944343,Baseball Silver,Yellow,Purple,,Hand Donut V1,Baseball Purple,,Smirk,Headphone Green,Pizza Blue,Torn Shirt Black
875,Oppa Bear Evolution Gen.1 #672,292.79198627393407,Basketball Orange,Shade Orange,Green,Circle Green,,Baseball Green,,Smirk,Bag Yellow,Pizza Purple,King Red
876,Oppa Bear Evolution Gen.1 #31,292.64482627858325,Baseball Green,Circle Green,Brown,Rainbow Shade V.2,,Cowboy Small Green,,Smirk,Scarf Red,,Palm Shirt Red
877,Oppa Bear Evolution Gen.1 #1471,292.6127180914174,,Lens Blue,Purple,Detective Glass Green,,Ring Yellow,,Smirk,,Lollipop Green,Hawaiian Blue
878,Oppa Bear Evolution Gen.1 #518,292.5898393805768,,Rainbow Wink Style,Blue,,,Cowboy Big Green,,Open Mouth,,Honey Blue,Hoodie Oversize Pink
879,Oppa Bear Evolution Gen.1 #1709,292.5393233792566,,Theme Purple,Grey,Star Blue,Hand Ice Cream V2,Small Hat Yellow,,Open Mouth,Bag Purple,,Hoodie Oversize Blue
880,Oppa Bear Evolution Gen.1 #1457,292.5096371146762,Baseball Green,Theme Yellow,Pink,Rainbow Shade V.2,,Yo Hat Pink,,Smirk,,Lollipop Green,Rain Coat Green
881,Oppa Bear Evolution Gen.1 #77,292.4558331058153,,Theme Purple,Sky Blue,Star Blue,,Headphone Pink,,Angry,Headphone Red,Parrot Red,Suit Black
882,Oppa Bear Evolution Gen.1 #1416,292.20858538974295,Baseball Golden,Wave Bright,Pink,Normal Green,,Bucket Black,,Smile,,Rose Yellow,Palm Shirt Red
883,Oppa Bear Evolution Gen.1 #1634,292.18364183201834,Guitar Blue,Green,Sky Blue,Rainbow Shade V.1,Hand Donut V3,Bear Hat Pink,,Angry,,,Torn Shirt Black
884,Oppa Bear Evolution Gen.1 #1718,292.17055730245806,Skateboard Green,Orange,Green,Scuba Red,Hand Soundabout V3,Halo Yellow,,Open Mouth,,,Palm Shirt Green
885,Oppa Bear Evolution Gen.1 #24,292.15881000797265,Wing Yellow,Shade Orange,Brown,Scuba Red,,Cowboy Big Purple,,Playful,,Honey Yellow,Torn Shirt Green
886,Oppa Bear Evolution Gen.1 #1927,292.15109998306696,Basketball Pink,Futuristic V.3,Green,Rainbow Shade V.2,Hand Spray V2,,,Smile,Headphone Red,Honey Blue,King Red
887,Oppa Bear Evolution Gen.1 #1472,292.14413028619197,Basketball Orange,Bubble Orange,Pink,,Hand Donut V3,HipHop Green,,Smirk,Headphone Yellow,Gum Red,Bib Purple
888,Oppa Bear Evolution Gen.1 #463,292.05476086747825,Basketball Orange,Fraction Yellow,Purple,Color Lens V.2,,Bear Hat Orange,,Angry,,Pizza Blue,Future Purple
889,Oppa Bear Evolution Gen.1 #785,291.90225698858643,Guitar Pink,Wall Pink,Sky Blue,Detective Glass Green,,Small Hat Green,,Smile,,Gum Blue,Suit Black
890,Oppa Bear Evolution Gen.1 #1921,291.7957856685237,Skateboard Yellow,Theme Green,Pink,,,Cowboy Small Black,,Smile,,,Future Purple
891,Oppa Bear Evolution Gen.1 #100,291.6372737128644,Basketball Green,Fraction Pink,Brown,Rainbow Shade V.1,,Bear Hat Orange,,Playful,,Honey Yellow,Future Yellow
892,Oppa Bear Evolution Gen.1 #917,291.49586961888804,Guitar Yellow,Wall Pink,Green,Detective Glass Purple,Hand Spray V2,HipHop Yellow,,Smirk,,,Torn Shirt Green
893,Oppa Bear Evolution Gen.1 #723,291.3498872910892,Baseball Golden,Fraction Yellow,Blue,Color Lens V.2,,Mario Blue,,Open Mouth,Bag Purple,,Hood Red
894,Oppa Bear Evolution Gen.1 #811,291.33961427040805,Sword Black,Spiral Orange,Grey,Motorbike Glass Pink,,Bucket Purple,,Playful,Scarf Green,Rose Purple,Rain Coat Green
895,Oppa Bear Evolution Gen.1 #1813,291.30013382407066,Skateboard Green,Theme Purple,Yellow,Normal Yellow,,Cap Blue,,Angry Rainbow,Scarf Yellow,Lollipop Purple,Torn Shirt Black
896,Oppa Bear Evolution Gen.1 #324,291.19395952325567,,Purple,Yellow,Rainbow Shade V.1,Hand Spray V1,Hiphop Pink,,Smile,,Honey Yellow,Hood Blue
897,Oppa Bear Evolution Gen.1 #805,291.045559748688,Skateboard Yellow,Spiral Orange,Blue,,Hand Donut V2,Halo Pink,,Smile,Bag Yellow,Honey Purple,Sweater Blue
898,Oppa Bear Evolution Gen.1 #234,291.0021260896994,Baseball Silver,Orange,Grey,Rayban Brown,Hand Soundabout V2,Small Hat Green,,Playful,,Lollipop Purple,Hoodie Blue
899,Oppa Bear Evolution Gen.1 #575,290.82971938056374,,Green,Pink,Rayban Blue,,Yo Hat Yellow,,Smirk,Bag Yellow,Pizza Blue,King Red
900,Oppa Bear Evolution Gen.1 #346,290.807261385055,Gun Green,Art Shade V.2,Sky Blue,,Hand Donut V2,Mario Yellow,,Smile,Scarf Green,Gum Yellow,Basketball Shirt Yellow
901,Oppa Bear Evolution Gen.1 #60,290.77443151219876,Green Sword,Purple,Green,Color Lens V.2,,Headphone Orange,,Playful,,Rose Purple,Palm Shirt Red
902,Oppa Bear Evolution Gen.1 #407,290.7458288543186,Skateboard Yellow,Bubble Pink,Yellow,Star Pink,Hand Donut V3,,,Angry,Bag Purple,Rose Yellow,Turtle Neck Pink
903,Oppa Bear Evolution Gen.1 #168,290.67296564550554,Baseball Golden,Bubble Orange,Brown,Scuba Red,,Party Hat Red,,Smirk,,,Hood Yellow
904,Oppa Bear Evolution Gen.1 #317,290.64156406078257,Basketball Orange,Spiral Orange,White,Heart Blue,Hand Soundabout V2,Cap Blue,,Angry,Scarf Yellow,,Palm Shirt Purple
905,Oppa Bear Evolution Gen.1 #1291,290.6206703059258,Skateboard Green,Blue,Green,Rayban Brown,,Hiphop White,,Open Mouth,,Gum Blue,Palm Shirt Purple
906,Oppa Bear Evolution Gen.1 #303,290.5125259898285,Sword Purple,Rainbow Wink Shade,White,,,Yo Hat Blue,,Angry,,Gum Yellow,Basketball Shirt Red
907,Oppa Bear Evolution Gen.1 #1521,290.50096897474754,Guitar Pink,Wave Bright,Brown,Circle Blue,,Ring Red,,Smirk Rainbow,,Gum Blue,Palm Shirt Red
908,Oppa Bear Evolution Gen.1 #54,290.4675528173525,Skateboard Purple,Theme Orange,Sky Blue,Motorbike Glass Pink,Hand Soundabout V3,Mario Blue,,Smile,,Gum Red,Bee Green
909,Oppa Bear Evolution Gen.1 #1278,290.3178161983222,Baseball Green,Futuristic V.2,White,Star Pink,,Baseball White,,Smirk,,Gum Yellow,Raincoat Orange
910,Oppa Bear Evolution Gen.1 #1415,290.29273697239563,Wing Red,Green,Pink,,,Bucket Green,,Angry,Bag Blue,Gum Yellow,Hawaiian Red
911,Oppa Bear Evolution Gen.1 #1027,290.14935238844157,Sword Purple,Wave Bright,Brown,,,King Crown Red,,Smile,,Gum Red,Sweater Yellow
912,Oppa Bear Evolution Gen.1 #1170,290.0206865333639,Baseball Green,Purple,Pink,Motor Bike Glass Orange,,Halo Green,,Angry,,Lollipop Green,Suit Blue
913,Oppa Bear Evolution Gen.1 #758,289.83454876672175,Skateboard Green,Orange,Brown,Detective Glass Green,Hand Ice Cream V2,Party Hat Blue,,Playful,,Gum Blue,Bee Pink
914,Oppa Bear Evolution Gen.1 #989,289.8209490342417,Guitar Yellow,Spiral Blue,Sky Blue,,,King Crown Purple,,Smirk,,Gum Red,Jacket Green
915,Oppa Bear Evolution Gen.1 #81,289.8114127716926,Basketball Pink,Shade Purple,Grey,,Hand Donut V2,Ring Red,,Angry,Scarf Yellow,Rose Orange,Bee Green
916,Oppa Bear Evolution Gen.1 #1939,289.7373613896275,Wing Yellow,Lens Blue,Blue,Star Yellow,,Cap Blue,,Smile,,Pizza Purple,Hoodie Oversize Pink
917,Oppa Bear Evolution Gen.1 #1062,289.7229284743189,Basketball Orange,Wall Yellow,Yellow,,,Small Hat Green,,Angry Rainbow,Bag Purple,,King Red
918,Oppa Bear Evolution Gen.1 #1220,289.70035951841777,Wing Red,Lens Blue,Yellow,Normal Blue,Hand Spray V2,,,Smile,,Honey Purple,Hoodie Blue
919,Oppa Bear Evolution Gen.1 #947,289.60455303749524,Gun Pink,Wall Blue,White,Rainbow Shade V.1,,Mario Yellow,,Angry Rainbow,,Rose Yellow,Hawaiian Red
920,Oppa Bear Evolution Gen.1 #339,289.56019139938655,Basketball Pink,Purple,Grey,,Hand Spray V3,Small Hat Green,,Open Mouth,Scarf Green,,Bee Yellow
921,Oppa Bear Evolution Gen.1 #1298,289.54759480692627,Skateboard Yellow,Shade Orange,White,Rainbow Shade V.3,,Hiphop Pink,,Playful,,,Torn Shirt Green
922,Oppa Bear Evolution Gen.1 #1555,289.5254838790673,Green Sword,Purple,Purple,Motorbike Glass Pink,Hand Soundabout V2,Baseball Green,,Angry,,Lollipop Purple,Hoodie Oversize Blue
923,Oppa Bear Evolution Gen.1 #929,289.51807499294114,Skateboard Yellow,Theme Purple,Purple,,,Cowboy Small Green,,Playful,Bag Yellow,Gum Blue,Hoodie Oversize Green
924,Oppa Bear Evolution Gen.1 #834,289.36521405014577,Gun Yellow,Theme Purple,Green,Rainbow Shade V.3,,Mario Yellow,,Open Mouth,,Parrot Yellow,Palm Shirt Purple
925,Oppa Bear Evolution Gen.1 #570,289.3546248054126,Baseball Golden,Yellow,White,Normal Green,Hand Ice Cream V2,Cap Blue,,Smile,Bag Blue,Lollipop Blue,Palm Shirt Red
926,Oppa Bear Evolution Gen.1 #152,289.2862063752028,Baseball Green,Rainbow Shade V2,Yellow,,,Hiphop Pink,,Open Mouth,,Parrot Purple,Hoodie Oversize Pink
927,Oppa Bear Evolution Gen.1 #1112,289.2285235723805,Skateboard Green,Wall Blue,Yellow,Circle Green,,Bucket Black,,Angry,,Honey Purple,Gap Yellow
928,Oppa Bear Evolution Gen.1 #719,289.1905943783736,Basketball Pink,Futuristic V.1,Grey,,Hand Spray V3,Smart Hat Black,,Playful,,,Bib Purple
929,Oppa Bear Evolution Gen.1 #1056,289.16910352010603,Gun Yellow,Lens Pink,Purple,Detective Glass Blue,,Fashion Hat Blue,,Open Mouth,Bag Purple,Honey Blue,Basketball Shirt Red
930,Oppa Bear Evolution Gen.1 #1127,289.14154886002126,Baseball Green,Rainbow Wall Dark,White,Star Yellow,,Fashion Hat Blue,,Smirk,Headphone Yellow,Gum Blue,Sweater Yellow
931,Oppa Bear Evolution Gen.1 #1354,289.12434841743897,Gun Pink,Art Shade V.1,Green,Normal Blue,Hand Spray V2,Baseball White,,Smile,,Gum Yellow,Jacket Brown
932,Oppa Bear Evolution Gen.1 #642,288.9492827018965,Guitar Yellow,Rainbow Shade V.2,Blue,,,Cap Blue,,Open Mouth,,Lollipop Blue,Hoodie Oversize Green
933,Oppa Bear Evolution Gen.1 #1879,288.9050833393096,Wing Yellow,Futuristic V.1,Brown,,Hand Spray V2,Ring Yellow,,Open Mouth,,,Torn Shirt Black
934,Oppa Bear Evolution Gen.1 #884,288.8776688216489,Guitar Pink,Rainbow Wall Dark,Grey,Rainbow Shade V.2,Hand Spray V2,Snow Blue,,Playful,,Honey Yellow,Palm Shirt Purple
935,Oppa Bear Evolution Gen.1 #50,288.7479448804898,,Rainbow Shade V2,Yellow,Motorbike Glass Pink,,Halo Green,,Smile,,Lollipop Green,Hoodie Oversize Blue
936,Oppa Bear Evolution Gen.1 #215,288.70192332148724,Basketball Green,Orange,Green,,,Cowboy Small Purple,,Smirk Rainbow,,Honey Blue,Bib Black
937,Oppa Bear Evolution Gen.1 #189,288.6929582217103,,Purple,Sky Blue,,Hand Spray V1,Mario Red,,Angry,Headphone Pink,Honey Yellow,Sweater Blue
938,Oppa Bear Evolution Gen.1 #1266,288.61734570175634,Guitar Yellow,Bubble Orange,Brown,Star Pink,,HipHop Purple,,Angry,Headphone Pink,Rose Orange,Suit Blue
939,Oppa Bear Evolution Gen.1 #734,288.4932272029046,,Rainbow Shade V2,Green,,,Cowboy Small Purple,,Smile,Bag Purple,Parrot Red,Hoodie Mix Purple
940,Oppa Bear Evolution Gen.1 #1237,288.39577082986864,Skateboard Purple,Spiral Purple,Sky Blue,Detective Glass Purple,,Smart Hat Black,,Angry,,Honey Yellow,Hawaiian Blue
941,Oppa Bear Evolution Gen.1 #1397,288.30682441821915,Skateboard Yellow,Pink,Green,,Hand Spray V2,Baseball Purple,,Angry,Scarf Yellow,Gum Red,Palm Shirt Purple
942,Oppa Bear Evolution Gen.1 #602,287.89912605942607,Wing Red,Rainbow Wink Shade,White,Heart Blue,,Party Hat Blue,,Smile,,Pizza Blue,Bee Pink
943,Oppa Bear Evolution Gen.1 #1361,287.88946555061034,Guitar Pink,Theme Orange,Purple,Scuba Blue,,HipHop Yellow,,Angry Rainbow,Headphone Green,,Hood Blue
944,Oppa Bear Evolution Gen.1 #46,287.77484734272423,Sword Black,Theme Orange,Brown,Detective Glass Green,,Fashion Hat Yellow,,Angry,,Lollipop Blue,Hawaiian Blue
945,Oppa Bear Evolution Gen.1 #1843,287.73421843614034,,Fraction Green,White,Star Pink,,Mario Blue,,Smirk,Scarf Red,Gum Blue,Bib Green
946,Oppa Bear Evolution Gen.1 #230,287.6643622653061,Sword Black,Futuristic V.3,Pink,Circle Red,,Cowboy Small Green,,Angry,Bag Purple,Gum Blue,Bee Pink
947,Oppa Bear Evolution Gen.1 #1659,287.5962860195607,Green Sword,Art Shade V.1,Grey,,Hand Spray V1,HipHop Purple,,Angry,Bag Yellow,Gum Blue,Suit Black
948,Oppa Bear Evolution Gen.1 #986,287.58608154508204,Basketball Pink,Sunshine Blue,Grey,,Hand Donut V3,Baseball White,,Open Mouth,Headphone Red,Pizza Purple,Hoodie Mix Yellow
949,Oppa Bear Evolution Gen.1 #1624,287.54498067167935,Guitar Blue,Shade Blue,Pink,Detective Glass Blue,,Bear Hat Orange,,Open Mouth,,Gum Red,Future Purple
950,Oppa Bear Evolution Gen.1 #1871,287.4496663012989,Sword Purple,Rainbow Wall Dark,Grey,Scuba Yellow,Hand Spray V2,Cap Blue,,Smirk,Scarf Red,Gum Red,Sweater Blue
951,Oppa Bear Evolution Gen.1 #849,287.4459693780641,Gun Pink,Rainbow Shade V2,White,Rayban Green,,Bucket Purple,,Smirk,,Gum Red,Turtle Neck Green
952,Oppa Bear Evolution Gen.1 #1617,287.4303555192818,,Rainbow Wall Light,Pink,Scuba Yellow,,Hiphop Black,,Open Mouth,Bag Yellow,Honey Blue,Palm Shirt Purple
953,Oppa Bear Evolution Gen.1 #688,287.0847100366299,Wing Yellow,Shade Purple,Grey,,Hand Donut V2,Snow Blue,,Angry,,Lollipop Green,Torn Shirt Green
954,Oppa Bear Evolution Gen.1 #342,287.06145023502154,,Bubble Pink,Grey,Rayban Blue,,Smart Hat Black,,Open Mouth,,Lollipop Purple,Turtle Neck Blue
955,Oppa Bear Evolution Gen.1 #915,287.0532284135754,Sword Purple,Lens Pink,Sky Blue,Rainbow Shade V.1,,Cowboy Big Purple,,Playful,Bag Yellow,Rose Purple,Hoodie Pink
956,Oppa Bear Evolution Gen.1 #1316,287.02751036334354,,Art Shade V.1,Sky Blue,Heart Green,,Snow Blue,,Angry,Bag Purple,Parrot Purple,Bee Green
957,Oppa Bear Evolution Gen.1 #1862,287.01036136598054,Basketball Orange,Rainbow Shade V3,Green,Normal Yellow,,,,Open Mouth,Headphone Green,Gum Blue,Bib Black
958,Oppa Bear Evolution Gen.1 #1422,286.9830612448993,Gun Yellow,Bubble Orange,Yellow,Normal Yellow,,Snow Purple,,Smile,Headphone Red,,Gap Pink
959,Oppa Bear Evolution Gen.1 #44,286.85054522435087,Wing Blue,Yellow,Sky Blue,Motor Bike Glass Orange,Hand Donut V1,,,Smile,,Gum Red,Suit Blue
960,Oppa Bear Evolution Gen.1 #607,286.80932271261946,Skateboard Yellow,Rainbow Wink Dream,Purple,Detective Glass Blue,,Mario Blue,,Open Mouth,Bag Yellow,Honey Blue,Bib Black
961,Oppa Bear Evolution Gen.1 #1753,286.69820058905816,Wing Red,Bubble Blue,Green,,,HipHop Yellow,,Smirk,,Gum Red,Turtle Neck Green
962,Oppa Bear Evolution Gen.1 #251,286.6763719542142,Gun Pink,Bubble Pink,Green,Scuba Blue,Hand Donut V1,Headphone Blue,,Playful,,,Bee Pink
963,Oppa Bear Evolution Gen.1 #1548,286.5649866684945,Gun Yellow,Rainbow Shade V1,Brown,,Hand Spray V3,Party Hat Red,,Playful,Bag Purple,Rose Yellow,Gap Purple
964,Oppa Bear Evolution Gen.1 #401,286.4962616479465,Green Sword,Shade Purple,White,Circle Green,Hand Donut V3,Ring Red,,Angry,Scarf Red,,Hawaiian Blue
965,Oppa Bear Evolution Gen.1 #452,286.47784222476,Skateboard Green,Fraction Yellow,Green,Color Lens V.1,,HipHop Yellow,,Angry,,Lollipop Purple,Bib Black
966,Oppa Bear Evolution Gen.1 #1335,286.3984162124695,Guitar Pink,Rainbow Wall Light,Blue,Scuba Yellow,,Small Hat Yellow,,Angry,Scarf Green,Gum Red,Torn Shirt Black
967,Oppa Bear Evolution Gen.1 #1682,286.374096672991,Baseball Silver,Futuristic V.3,Blue,Scuba Blue,Hand Donut V3,,,Smirk,Headphone Pink,Lollipop Purple,Jacket Green
968,Oppa Bear Evolution Gen.1 #901,286.3477055646465,Gun Yellow,Rainbow Wall Shade,Purple,,,Honey Jar Yellow,,Open Mouth,,Lollipop Green,Hoodie Mix White
969,Oppa Bear Evolution Gen.1 #481,286.34265128750235,Sword Purple,Theme Green,Grey,Circle Green,,Fashion Hat Yellow,,Playful,Headphone Yellow,Pizza Blue,Sweater Blue
970,Oppa Bear Evolution Gen.1 #378,286.32694836401606,Wing Yellow,Rainbow Wall Dark,Brown,Star Pink,,Baseball Green,,Angry,Headphone Pink,Rose Yellow,Basketball Shirt Green
971,Oppa Bear Evolution Gen.1 #1379,286.2512184625958,Guitar Yellow,Blue,White,,,Fashion Hat Yellow,,Smirk,Scarf Yellow,,Jacket Pink
972,Oppa Bear Evolution Gen.1 #675,286.2063342300552,Basketball Orange,Wall Yellow,Green,,,Smart Hat Blue,,Playful,Headphone Green,Lollipop Blue,Hoodie Blue
973,Oppa Bear Evolution Gen.1 #1544,285.9253684632631,Basketball Pink,Rainbow Wink Style,Blue,,,Bucket Green,,Playful,,Pizza Purple,Hood Red
974,Oppa Bear Evolution Gen.1 #413,285.8964489324141,Sword Purple,Purple,Pink,Scuba Blue,Hand Donut V1,Baseball Green,,Open Mouth,,Pizza Yellow,Rain Coat Green
975,Oppa Bear Evolution Gen.1 #40,285.8404369623752,,Spiral Purple,Purple,Motor Bike Glass Orange,Hand Donut V1,Small Hat Purple,,Open Mouth,,Rose Yellow,Bee Pink
976,Oppa Bear Evolution Gen.1 #348,285.7702413596474,Basketball Orange,Purple,Brown,Normal Blue,Hand Spray V1,Bucket Black,,Playful,Scarf Yellow,,Palm Shirt Red
977,Oppa Bear Evolution Gen.1 #628,285.7621757846157,,Lens Pink,Green,,Hand Donut V3,Baseball Purple,,Smirk,Bag Yellow,Gum Red,Raincoat Orange
978,Oppa Bear Evolution Gen.1 #467,285.6977560592019,,Theme Blue,Brown,,,Headphone Pink,,Smirk,,Parrot Yellow,Hawaiian Yellow
979,Oppa Bear Evolution Gen.1 #458,285.60548926950105,Sword Purple,Theme Green,Blue,,Hand Spray V1,Mario Blue,,Smirk,Bag Blue,Honey Blue,Turtle Neck Blue
980,Oppa Bear Evolution Gen.1 #1204,285.48641162046033,Guitar Pink,Rainbow Wink Shade,Pink,,Hand Spray V3,Snow Blue,,Smile,Scarf Green,Lollipop Blue,Raincoat Purple
981,Oppa Bear Evolution Gen.1 #1694,285.481888273047,Skateboard Purple,Wall Pink,Grey,,,King Crown Red,,Smirk,Bag Purple,Rose Yellow,Hoodie Mix Yellow
982,Oppa Bear Evolution Gen.1 #1123,285.3908068897189,Green Sword,Futuristic V.2,Purple,,,Hiphop Pink,,Open Mouth,,Lollipop Green,Jacket Brown
983,Oppa Bear Evolution Gen.1 #988,285.12933375432544,Skateboard Yellow,Wave Bright,White,,Hand Ice Cream V2,Headphone Pink,,Angry,Bag Blue,,Palm Shirt Green
984,Oppa Bear Evolution Gen.1 #1834,285.1235147769441,Gun Pink,Rainbow Shade V.2,Pink,,,Ring Yellow,,Open Mouth,,Lollipop Green,Rain Coat Green
985,Oppa Bear Evolution Gen.1 #739,285.1219121534688,Baseball Silver,Wave Calm,Green,,,Baseball Green,,Open Mouth,,Rose Yellow,Hoodie Mix White
986,Oppa Bear Evolution Gen.1 #610,284.9910299265156,Basketball Pink,Shade Purple,Brown,,Hand Ice Cream V3,Mario Yellow,,Playful,Bag Purple,,Suit Blue
987,Oppa Bear Evolution Gen.1 #206,284.934661211532,Green Sword,Orange,Sky Blue,Color Lens V.3,Hand Ice Cream V2,Bear Hat Orange,,Smile,Headphone Pink,Lollipop Blue,Jacket Brown
988,Oppa Bear Evolution Gen.1 #1504,284.9316101009907,Guitar Pink,Wall Pink,Brown,Detective Glass Purple,,Baseball Green,,Angry,,Gum Blue,Hood Red
989,Oppa Bear Evolution Gen.1 #256,284.9223886707118,Baseball Silver,Circle Red,Brown,Detective Glass Purple,,Honey Jar Yellow,,Playful,,,Bib Purple
990,Oppa Bear Evolution Gen.1 #310,284.82708114227455,Green Sword,Yellow,Blue,,,Yo Hat Blue,,Smirk Rainbow,,Lollipop Blue,Rain Coat Pink
991,Oppa Bear Evolution Gen.1 #1508,284.77559648094837,Skateboard Purple,Yellow,Sky Blue,Circle Blue,,Baseball Purple,,Angry,Bag Blue,Gum Blue,Sweater Blue
992,Oppa Bear Evolution Gen.1 #1689,284.73086421349757,Sword Purple,Theme Orange,Pink,,,Bear Hat Green,,Angry,,Pizza Yellow,Torn Shirt Black
993,Oppa Bear Evolution Gen.1 #1382,284.7289733770767,Green Sword,Rainbow Shade V2,Grey,Circle Blue,,HipHop Green,,Open Mouth,Scarf Yellow,Pizza Blue,Hood Red
994,Oppa Bear Evolution Gen.1 #830,284.693564249641,Green Sword,Shade Orange,Pink,Circle Blue,Hand Donut V1,,,Smirk,Headphone Yellow,,Future Yellow
995,Oppa Bear Evolution Gen.1 #1801,284.57049137385303,Green Sword,Rainbow Wink Dream,Purple,Rainbow Shade V.1,,Honey Jar Yellow,,Playful,,Lollipop Green,Hoodie Oversize Pink
996,Oppa Bear Evolution Gen.1 #689,284.55527725181577,,Circle Purple,Pink,Motorbike Glass Green,Hand Donut V1,Fashion Hat Blue,,Open Mouth,Scarf Red,Rose Yellow,Hood Blue
997,Oppa Bear Evolution Gen.1 #1549,284.34492715176907,,Wall Pink,Purple,Star Pink,Hand Donut V1,HipHop Yellow,,Smirk,,Honey Yellow,Rain Coat Yellow
998,Oppa Bear Evolution Gen.1 #53,284.3438158399781,Baseball Green,Spiral Blue,Sky Blue,,Hand Donut V3,Bear Hat Orange,,Smirk,Bag Purple,Gum Blue,Rain Coat Pink
999,Oppa Bear Evolution Gen.1 #658,284.20353089179685,Wing Red,Pink,Blue,,Hand Donut V1,HipHop Purple,,Smile,,Parrot Red,Bee Green
1000,Oppa Bear Evolution Gen.1 #691,284.1669967254271,Guitar Yellow,Blue,Grey,Circle Red,,Snow Purple,,Playful,Headphone Red,Parrot Yellow,Turtle Neck Green
1001,Oppa Bear Evolution Gen.1 #733,284.1565304873085,Gun Green,Rainbow Wink Style,Yellow,Heart Green,,Bear Hat Orange,,Open Mouth,,Gum Blue,Hoodie Mix White
1002,Oppa Bear Evolution Gen.1 #1717,284.1487131256244,Wing Red,Lens Pink,Blue,,,Small Hat Purple,,Playful,Bag Purple,Gum Yellow,Bee Green
1003,Oppa Bear Evolution Gen.1 #888,284.0852065538661,Basketball Orange,Spiral Orange,Green,,Hand Soundabout Blue V1,Halo Yellow,,Open Mouth,Headphone Red,,Gap Purple
1004,Oppa Bear Evolution Gen.1 #422,284.06997512054016,Basketball Orange,Lens Blue,Sky Blue,Motor Bike Glass Orange,,Headphone Pink,,Playful,Headphone Red,,Suit Blue
1005,Oppa Bear Evolution Gen.1 #958,284.0023960163645,,Wave Bright,Brown,Rayban Blue,,Bucket Black,,Angry,Headphone Red,Honey Blue,Torn Shirt Black
1006,Oppa Bear Evolution Gen.1 #156,283.9141689076289,Wing Yellow,Yellow,Blue,Star Pink,,HipHop Purple,,Open Mouth,Bag Purple,Rose Yellow,Gap Pink
1007,Oppa Bear Evolution Gen.1 #943,283.8822022202793,Guitar Yellow,Green,Purple,Motorbike Glass Green,,Ring Purple,,Smirk,Scarf Red,Pizza Purple,Rain Coat Pink
1008,Oppa Bear Evolution Gen.1 #1071,283.8811955741565,Baseball Green,Rainbow Shade V2,Purple,,Hand Soundabout Blue V1,Bear Hat Orange,,Smirk,,Honey Purple,Bee Yellow
1009,Oppa Bear Evolution Gen.1 #1445,283.84916397175573,Baseball Silver,Shade Blue,Green,,,Baseball White,,Smile,,Pizza Blue,Jacket Pink
1010,Oppa Bear Evolution Gen.1 #1541,283.8296236740599,Baseball Green,Theme Green,Green,Scuba Blue,,Party Hat Red,,Angry,Bag Yellow,Rose Orange,Turtle Neck Blue
1011,Oppa Bear Evolution Gen.1 #1097,283.6062744865162,Sword Black,Rainbow Wall Dark,Yellow,,Hand Donut V3,Ring Yellow,,Open Mouth,Scarf Green,,Torn Shirt Green
1012,Oppa Bear Evolution Gen.1 #875,283.58934463303274,Gun Pink,Fraction Yellow,Brown,Scuba Red,Hand Soundabout Blue V1,,,Playful,Bag Yellow,Lollipop Purple,Suit Blue
1013,Oppa Bear Evolution Gen.1 #173,283.56913376886956,Basketball Green,Art Shade V.2,Yellow,,Hand Ice Cream V3,Bucket Purple,,Smile,Scarf Yellow,Honey Purple,Turtle Neck Blue
1014,Oppa Bear Evolution Gen.1 #1107,283.46678481157903,Sword Purple,Lens Pink,Purple,,,Cowboy Big Brown,,Angry,Bag Blue,Parrot Yellow,Rain Coat Yellow
1015,Oppa Bear Evolution Gen.1 #1464,283.36882147881147,Gun Yellow,Futuristic V.3,Purple,Rayban Blue,,Small Hat Yellow,,Angry,,,Hoodie Pink
1016,Oppa Bear Evolution Gen.1 #1230,283.1200761434698,Baseball Green,Bubble Orange,Green,Scuba Red,,HipHop Green,,Smile,,Pizza Purple,Bib Green
1017,Oppa Bear Evolution Gen.1 #1429,283.06046800413543,Basketball Orange,Pink,Blue,,,King Crown Blue,,Smile,Bag Blue,Honey Yellow,Sweater Red
1018,Oppa Bear Evolution Gen.1 #1214,282.808063088942,Wing Red,Bubble Orange,Blue,,,HipHop Green,,Angry Rainbow,Headphone Green,,Hawaiian Yellow
